Date;Close;Open;High;Low;Volume;Variation;return;volatility;lag1;lag2;vol_lag1;vol_lag2;ret_abs;ret_sq;ma5;ma20;std5;std20
2022-09-26;983.62;990.9;990.96;981.12;;-0.73;-0.007373977460648518;0.002936109246579669;0.004034771199348627;0.001754484271788886;0.0024064723580346403;0.0023176003963979743;0.007373977460648518;5.437554359015236e-05;986.1039999999999;982.5205;0.004484396441136679;0.002936109246579669
2022-09-27;972.97;983.62;985.95;972.97;;-1.08;-0.010886394370406316;0.0037779601120899245;-0.007373977460648518;0.004034771199348627;0.002936109246579669;0.0024064723580346403;0.010886394370406316;0.00011851358238801431;983.9159999999999;982.0199999999999;0.006498209304999001;0.0037779601120899245
2022-09-28;952.47;972.97;972.97;952.34;;-2.11;-0.021294638791946385;0.00599361669878498;-0.010886394370406316;-0.007373977460648518;0.0037779601120899245;0.002936109246579669;0.021294638791946385;0.0004534616412794678;977.374;980.5695;0.010218648598928817;0.00599361669878498
2022-09-29;941.12;952.47;957.6;940.26;;-1.19;-0.011987955076222356;0.0064316378913252086;-0.021294638791946385;-0.010886394370406316;0.00599361669878498;0.0037779601120899245;0.011987955076222356;0.00014371106690952537;968.216;978.5939999999998;0.009150621616462223;0.0064316378913252086
2022-09-30;937.34;941.12;946.67;931.78;;-0.4;-0.0040245787529437325;0.006410971133940687;-0.011987955076222356;-0.021294638791946385;0.0064316378913252086;0.00599361669878498;0.0040245787529437325;1.6197234138646128e-05;957.5040000000001;976.3934999999999;0.006494395064536178;0.006410971133940687
2022-10-03;934.89;937.34;939.29;934.49;;-0.26;-0.00261720130378112;0.006372943731991401;-0.0040245787529437325;-0.011987955076222356;0.006410971133940687;0.0064316378913252086;0.00261720130378112;6.849742664513595e-06;947.758;974.0375;0.007456313305321132;0.006372943731991401
2022-10-04;937.43;934.89;941.15;934.67;;0.27;0.002713213081299371;0.00646752784414924;-0.00261720130378112;-0.0040245787529437325;0.006372943731991401;0.006410971133940687;0.002713213081299371;7.361525224534026e-06;940.65;971.991;0.009362786870786902;0.00646752784414924
2022-10-05;939.59;937.43;943.65;937.43;;0.23;0.002301521511182766;0.006357634172522399;0.002713213081299371;-0.00261720130378112;0.00646752784414924;0.006372943731991401;0.002301521511182766;5.297001266437004e-06;938.074;969.824;0.00596537765485729;0.006357634172522399
2022-10-06;947.97;939.59;949.87;939.14;;0.89;0.008879246283282278;0.006822363449242581;0.002301521511182766;0.002713213081299371;0.006357634172522399;0.00646752784414924;0.008879246283282278;7.884101455918215e-05;939.4440000000001;968.0985000000001;0.005099696915243507;0.006822363449242581
2022-10-07;948.28;947.97;948.54;944.31;;0.03;0.00032696111036158984;0.006838411067651543;0.008879246283282278;0.002301521511182766;0.006822363449242581;0.006357634172522399;0.00032696111036158984;1.0690356768888372e-07;941.632;966.4859999999999;0.004228676735035849;0.006838411067651543
2022-10-11;953.97;948.28;953.97;946.86;;0.6;0.005982407117921667;0.007043889121999022;0.00032696111036158984;0.008879246283282278;0.006838411067651543;0.006822363449242581;0.005982407117921667;3.578919492455982e-05;945.448;965.1614999999999;0.003382328212134223;0.007043889121999022
2022-10-12;943.13;953.97;953.97;943.13;;-1.14;-0.01142809338070475;0.007364107461794128;0.005982407117921667;0.00032696111036158984;0.007043889121999022;0.006838411067651543;0.01142809338070475;0.0001306013183181077;946.5880000000001;963.2445;0.0077988101726671095;0.007364107461794128
2022-10-13;930.96;943.13;945.59;930.72;;-1.29;-0.012987819232427032;0.007764453218885619;-0.01142809338070475;0.005982407117921667;0.007364107461794128;0.007043889121999022;0.012987819232427032;0.0001686834484142015;944.8619999999999;960.8299999999999;0.00996234502680852;0.007764453218885619
2022-10-14;921.95;930.96;933.27;921.75;;-0.97;-0.009725319648647738;0.00787939553762463;-0.012987819232427032;-0.01142809338070475;0.007764453218885619;0.007364107461794128;0.009725319648647738;9.458184226837375e-05;939.658;957.9195;0.008289152193938873;0.00787939553762463
2022-10-17;915.22;921.95;923.62;913.01;;-0.73;-0.007326518617563582;0.007740400252214477;-0.009725319648647738;-0.012987819232427032;0.00787939553762463;0.007764453218885619;0.007326518617563582;5.367787505350578e-05;933.0459999999999;954.466;0.007607426545907259;0.007740400252214477
